"","practicecode","postcode","healthboard","ageband","malecount","femalecount","indeterminatecount","count","year","month","lsoa"
"115","W00165","CF83 1LX","Aneurin Bevan",20,0,1,0,1,2020,"April","W01001426"
"116","W00165","CF83 1LX","Aneurin Bevan",21,0,0,0,0,2020,"April","W01001426"
"117","W00165","CF83 1LX","Aneurin Bevan",22,0,0,0,0,2020,"April","W01001426"
"118","W00165","CF83 1LX","Aneurin Bevan",23,1,0,0,1,2020,"April","W01001426"
"119","W00165","CF83 1LX","Aneurin Bevan",24,1,0,0,1,2020,"April","W01001426"
"120","W00165","CF83 1LX","Aneurin Bevan",25,1,0,0,1,2020,"April","W01001426"
"121","W00165","CF83 1LX","Aneurin Bevan",26,1,0,0,1,2020,"April","W01001426"
"122","W00165","CF83 1LX","Aneurin Bevan",27,2,0,0,2,2020,"April","W01001426"
"123","W00165","CF83 1LX","Aneurin Bevan",28,0,0,0,0,2020,"April","W01001426"
"124","W00165","CF83 1LX","Aneurin Bevan",29,0,1,0,1,2020,"April","W01001426"
"125","W00165","CF83 1LX","Aneurin Bevan",30,1,1,0,2,2020,"April","W01001426"
"126","W00165","CF83 1LX","Aneurin Bevan",31,0,0,0,0,2020,"April","W01001426"
"127","W00165","CF83 1LX","Aneurin Bevan",32,0,0,0,0,2020,"April","W01001426"
"128","W00165","CF83 1LX","Aneurin Bevan",33,1,1,0,2,2020,"April","W01001426"
"129","W00165","CF83 1LX","Aneurin Bevan",34,0,0,0,0,2020,"April","W01001426"
"130","W00165","CF83 1LX","Aneurin Bevan",35,1,0,0,1,2020,"April","W01001426"
"131","W00165","CF83 1LX","Aneurin Bevan",36,0,0,0,0,2020,"April","W01001426"
"132","W00165","CF83 1LX","Aneurin Bevan",37,0,0,0,0,2020,"April","W01001426"
"133","W00165","CF83 1LX","Aneurin Bevan",38,0,0,0,0,2020,"April","W01001426"
"134","W00165","CF83 1LX","Aneurin Bevan",39,0,1,0,1,2020,"April","W01001426"
"135","W00165","CF83 1LX","Aneurin Bevan",40,0,0,0,0,2020,"April","W01001426"
"136","W00165","CF83 1LX","Aneurin Bevan",41,1,0,0,1,2020,"April","W01001426"
"137","W00165","CF83 1LX","Aneurin Bevan",42,0,0,0,0,2020,"April","W01001426"
"138","W00165","CF83 1LX","Aneurin Bevan",43,0,0,0,0,2020,"April","W01001426"
"139","W00165","CF83 1LX","Aneurin Bevan",44,1,0,0,1,2020,"April","W01001426"
"140","W00165","CF83 1LX","Aneurin Bevan",45,0,0,0,0,2020,"April","W01001426"
"141","W00165","CF83 1LX","Aneurin Bevan",46,0,0,0,0,2020,"April","W01001426"
"142","W00165","CF83 1LX","Aneurin Bevan",47,0,1,0,1,2020,"April","W01001426"
"143","W00165","CF83 1LX","Aneurin Bevan",48,0,0,0,0,2020,"April","W01001426"
"144","W00165","CF83 1LX","Aneurin Bevan",49,0,0,0,0,2020,"April","W01001426"
"145","W00165","CF83 1LX","Aneurin Bevan",50,0,0,0,0,2020,"April","W01001426"
"146","W00165","CF83 1LX","Aneurin Bevan",51,0,0,0,0,2020,"April","W01001426"
"147","W00165","CF83 1LX","Aneurin Bevan",52,0,0,0,0,2020,"April","W01001426"
"148","W00165","CF83 1LX","Aneurin Bevan",53,0,0,0,0,2020,"April","W01001426"
"149","W00165","CF83 1LX","Aneurin Bevan",54,1,0,0,1,2020,"April","W01001426"
"150","W00165","CF83 1LX","Aneurin Bevan",55,0,0,0,0,2020,"April","W01001426"
"151","W00165","CF83 1LX","Aneurin Bevan",56,1,0,0,1,2020,"April","W01001426"
"152","W00165","CF83 1LX","Aneurin Bevan",57,1,0,0,1,2020,"April","W01001426"
"153","W00165","CF83 1LX","Aneurin Bevan",58,0,0,0,0,2020,"April","W01001426"
"154","W00165","CF83 1LX","Aneurin Bevan",59,0,0,0,0,2020,"April","W01001426"
"155","W00165","CF83 1LX","Aneurin Bevan",60,0,0,0,0,2020,"April","W01001426"
"156","W00165","CF83 1LX","Aneurin Bevan",61,0,0,0,0,2020,"April","W01001426"
"157","W00165","CF83 1LX","Aneurin Bevan",62,0,0,0,0,2020,"April","W01001426"
"158","W00165","CF83 1LX","Aneurin Bevan",63,0,0,0,0,2020,"April","W01001426"
"159","W00165","CF83 1LX","Aneurin Bevan",64,0,0,0,0,2020,"April","W01001426"
"160","W00165","CF83 1LX","Aneurin Bevan",65,1,0,0,1,2020,"April","W01001426"
"161","W00166","NP4 0AH","Aneurin Bevan",1,0,0,0,0,2020,"April","W01001556"
"162","W00166","NP4 0AH","Aneurin Bevan",2,0,0,0,0,2020,"April","W01001556"
"163","W00166","NP4 0AH","Aneurin Bevan",3,0,0,0,0,2020,"April","W01001556"
"164","W00166","NP4 0AH","Aneurin Bevan",4,0,0,0,0,2020,"April","W01001556"
"165","W00166","NP4 0AH","Aneurin Bevan",5,0,0,0,0,2020,"April","W01001556"
"166","W00166","NP4 0AH","Aneurin Bevan",6,0,0,0,0,2020,"April","W01001556"
"167","W00166","NP4 0AH","Aneurin Bevan",7,0,0,0,0,2020,"April","W01001556"
"168","W00166","NP4 0AH","Aneurin Bevan",8,0,0,0,0,2020,"April","W01001556"
"169","W00166","NP4 0AH","Aneurin Bevan",9,0,0,0,0,2020,"April","W01001556"
"170","W00166","NP4 0AH","Aneurin Bevan",10,0,0,0,0,2020,"April","W01001556"
"171","W00166","NP4 0AH","Aneurin Bevan",11,0,0,0,0,2020,"April","W01001556"
"172","W00166","NP4 0AH","Aneurin Bevan",12,0,0,0,0,2020,"April","W01001556"
"173","W00166","NP4 0AH","Aneurin Bevan",13,0,0,0,0,2020,"April","W01001556"
"174","W00166","NP4 0AH","Aneurin Bevan",14,0,0,0,0,2020,"April","W01001556"
"175","W00166","NP4 0AH","Aneurin Bevan",15,0,0,0,0,2020,"April","W01001556"
"176","W00166","NP4 0AH","Aneurin Bevan",16,0,0,0,0,2020,"April","W01001556"
"177","W00166","NP4 0AH","Aneurin Bevan",17,0,0,0,0,2020,"April","W01001556"
"178","W00166","NP4 0AH","Aneurin Bevan",18,0,0,0,0,2020,"April","W01001556"
"179","W00166","NP4 0AH","Aneurin Bevan",19,0,0,0,0,2020,"April","W01001556"
